source_basis,status,price_ttc,base_cost,extra_cost_budget_unquoted,total_cost_scenario,contribution_before_ads,cpc_scenario,break_even_cvr,contribution_at_cvr_2pct,note
Capture: 30deg + support simple,HYPOTHESE,119,41.98,5,46.98,43.5567,0.8,0.018367,3.5567,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
Capture: 30deg + support simple,HYPOTHESE,119,41.98,5,46.98,43.5567,1.2,0.02755,-16.4433,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
Capture: 30deg + support simple,HYPOTHESE,69,41.98,10,51.98,0.39,0.8,2.051282,-39.61,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
Capture: 30deg + support simple,HYPOTHESE,69,41.98,10,51.98,0.39,1.2,3.076923,-59.61,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
Capture: 30deg + support simple,HYPOTHESE,99,41.98,10,51.98,23.29,0.8,0.03435,-16.71,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
Capture: 30deg + support simple,HYPOTHESE,99,41.98,10,51.98,23.29,1.2,0.051524,-36.71,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
Capture: 30deg + support simple,HYPOTHESE,119,41.98,10,51.98,38.5567,0.8,0.020749,-1.4433,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
Capture: 30deg + support simple,HYPOTHESE,119,41.98,10,51.98,38.5567,1.2,0.031123,-21.4433,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
"API: K23-base, contenu a confirmer",HYPOTHESE,69,27.79,5,32.79,19.58,0.8,0.040858,-20.42,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
"API: K23-base, contenu a confirmer",HYPOTHESE,69,27.79,5,32.79,19.58,1.2,0.061287,-40.42,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
"API: K23-base, contenu a confirmer",HYPOTHESE,99,27.79,5,32.79,42.48,0.8,0.018832,2.48,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
"API: K23-base, contenu a confirmer",HYPOTHESE,99,27.79,5,32.79,42.48,1.2,0.028249,-17.52,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
"API: K23-base, contenu a confirmer",HYPOTHESE,119,27.79,5,32.79,57.7467,0.8,0.013854,17.7467,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
"API: K23-base, contenu a confirmer",HYPOTHESE,119,27.79,5,32.79,57.7467,1.2,0.02078,-2.2533,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
"API: K23-base, contenu a confirmer",HYPOTHESE,69,27.79,10,37.79,14.58,0.8,0.05487,-25.42,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
"API: K23-base, contenu a confirmer",HYPOTHESE,69,27.79,10,37.79,14.58,1.2,0.082305,-45.42,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
"API: K23-base, contenu a confirmer",HYPOTHESE,99,27.79,10,37.79,37.48,0.8,0.021345,-2.52,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
"API: K23-base, contenu a confirmer",HYPOTHESE,99,27.79,10,37.79,37.48,1.2,0.032017,-22.52,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
"API: K23-base, contenu a confirmer",HYPOTHESE,119,27.79,10,37.79,52.7467,0.8,0.015167,12.7467,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
"API: K23-base, contenu a confirmer",HYPOTHESE,119,27.79,10,37.79,52.7467,1.2,0.02275,-7.2533,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
API: A99 seul,HYPOTHESE,69,32.39,0,32.39,19.98,0.8,0.04004,-20.02,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
API: A99 seul,HYPOTHESE,69,32.39,0,32.39,19.98,1.2,0.06006,-40.02,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
API: A99 seul,HYPOTHESE,99,32.39,0,32.39,42.88,0.8,0.018657,2.88,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
API: A99 seul,HYPOTHESE,99,32.39,0,32.39,42.88,1.2,0.027985,-17.12,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
API: A99 seul,HYPOTHESE,119,32.39,0,32.39,58.1467,0.8,0.013758,18.1467,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
API: A99 seul,HYPOTHESE,119,32.39,0,32.39,58.1467,1.2,0.020637,-1.8533,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
API: A99 seul,HYPOTHESE,69,32.39,5,37.39,14.98,0.8,0.053405,-25.02,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
API: A99 seul,HYPOTHESE,69,32.39,5,37.39,14.98,1.2,0.080107,-45.02,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
API: A99 seul,HYPOTHESE,99,32.39,5,37.39,37.88,0.8,0.021119,-2.12,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
API: A99 seul,HYPOTHESE,99,32.39,5,37.39,37.88,1.2,0.031679,-22.12,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
API: A99 seul,HYPOTHESE,119,32.39,5,37.39,53.1467,0.8,0.015053,13.1467,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
API: A99 seul,HYPOTHESE,119,32.39,5,37.39,53.1467,1.2,0.022579,-6.8533,Base fiscale prudente: prix fournisseur annonce taxes incluses sans recuperation supposee. Extra = enveloppe hypothetical non devis. Aucun taux de conversion acquis.
